"","id","name","deg","community","kcore","field"
"1","1223358857663209472","ClaireClimate",23,"5","7","NGO officer"
"2","1195025771368239106","COP26",25,"3","8","organisation"
"3","1134059457191776257","vanessa_vash",25,"2","8","social activist"
"4","1100423496813998081","NamugerwaLeah",29,"2","8","environmentalist"
"5","1071817859414806528","AlexandriaV2005",83,"1","8","environmentalist"
"6","1036574230207504385","DavidRVetter",34,"4","8","writer and journalist"
"7","1006419421244678144","GretaThunberg",90,"4","8","environmentalist"
"8","998962318062112774","MothersInvent",92,"2","8","organisation"
"9","987274804096126977","ChiefExecCCC",65,"5","8","NGO officer"
"10","980593492283060224","mikaelaloach",20,"2","8","actor, singer and host"
"11","968153220995473409","havenruthie",83,"1","8","environmentalist"
"12","912278708349698048","MaryHeglar",62,"1","8","environmentalist"
"13","910932695772999680","PiaHCook",55,"3","8","NGO officer"
"14","895489494400368640","JeromeFosterII",6,"2","6","social activist"
"15","881615056437297152","ClimateHuman",7,"2","7","scientist"
"16","836408868355846145","israhirsi",7,"2","7","environmentalist"
"17","816592081200279552","RARohde",2,"1","2","scientist"
"18","811229675758505984","antonioguterres",6,"3","6","NGO officer"
"19","810585618031984640","Jamie_Margolin",8,"2","8","environmentalist"
"20","4516023204","TimBuckleyIEEFA",1,"4","1","scientist"
"21","4329166468","vict_barrett",5,"1","5","environmentalist"
"22","3232924232","ASteiner",4,"3","4","NGO officer"
"23","3066095291","AminaJMohammed",7,"3","7","NGO officer"
"24","3053663748","SteveJCornelius",1,"5","1","scientist"
"25","3028252336","PaulPolman",4,"3","4","businessman"
"26","2794535639","EJinAction",4,"1","4","NGO officer"
"27","2600187422","ClimateMuseum",1,"1","1","organisation"
"28","2479372884","AfricaCRP",3,"2","3","organisation"
"29","2469606308","WMBtweets",6,"5","6","organisation"
"30","2438273430","MAC_europa",3,"5","3","politician"
"31","2354013972","DrKateMarvel",6,"1","6","scientist"
"32","2178901645","pepcanadell",1,"4","1","scientist"
"33","1943695962","ELPinchbeck",5,"5","5","scientist"
"34","1731554581","AlokSharma_RDG",6,"3","6","NGO officer"
"35","1596123433","ibrahimthiaw",1,"4","1","NGO officer"
"36","1182675871","lisapjackson",2,"3","2","politician"
"37","1138126849","robbie_andrew",1,"4","1","scientist"
"38","989633635","ClimateOfGavin",7,"4","7","scientist"
"39","950477244","PaulEDawson",6,"3","6","actor, singer and host"
"40","949934436","TomSteyer",2,"1","2","businessman"
"41","942696282","fortuashla",4,"2","4","environmentalist"
"42","917421961","Peters_Glen",4,"4","4","scientist"
"43","813477602","KevinClimate",6,"4","6","scientist"
"44","764204616","JustinHGillis",4,"3","4","writer and journalist"
"45","637196658","KateAronoff",6,"4","6","writer and journalist"
"46","610076827","ChristopherNFox",2,"3","2","NGO officer"
"47","604840570","KateRaworth",5,"2","5","scientist"
"48","596893898","GlblCtzn",4,"1","4","organisation"
"49","558739638","MohamedNasheed",1,"2","1","politician"
"50","526871737","DrSimEvans",5,"3","5","writer and journalist"
"51","510592186","MindyLubber",2,"3","2","NGO officer"
"52","495650403","p_hannam",1,"4","1","writer and journalist"
"53","476256944","SenFeinstein",1,"1","1","politician"
"54","475987826","tom_burke_47",1,"5","1","environmentalist"
"55","440413534","JPvanYpersele",5,"2","5","scientist"
"56","430709194","doug_parr",5,"5","5","scientist"
"57","407255112","NickMolho",1,"5","1","NGO officer"
"58","401775393","AssaadRazzouk",3,"1","3","NGO officer"
"59","384923143","MichaelEMann",6,"4","6","scientist"
"60","378643551","GlobalEcoGuy",6,"1","6","scientist"
"61","368292391","RHarrabin",4,"5","4","scientist"
"62","330797853","JustinWorland",3,"1","3","writer and journalist"
"63","326369670","SominiSengupta",7,"4","7","writer and journalist"
"64","313743136","LaurenceTubiana",3,"5","3","scientist"
"65","290180065","EricHolthaus",10,"2","8","writer and journalist"
"66","288723364","GregBarkerUK",1,"5","1","politician"
"67","268357486","CoHedegaard",2,"3","2","politician"
"68","264114463","farhanaclimate",5,"2","5","writer and journalist"
"69","263246364","topnigel",5,"5","5","environmentalist"
"70","260478229","dwallacewells",5,"2","5","writer and journalist"
"71","255797635","DrBobBullard",4,"1","4","scientist"
"72","254119833","DSCEJ",1,"1","1","organisation"
"73","253998571","rahmstorf",4,"3","4","scientist"
"74","246560945","ayanaeliza",7,"2","7","scientist"
"75","243821406","mark_lynas",2,"4","2","writer and journalist"
"76","243236419","CFigueres",10,"5","8","NGO officer"
"77","240184267","tomcarnac",4,"3","4","NGO officer"
"78","220883243","Mark_Butler_MP",1,"2","1","politician"
"79","214842351","PEspinosaC",7,"3","7","NGO officer"
"80","205750967","KarmenuVella",1,"3","1","NGO officer"
"81","198584761","GeorgeMonbiot",10,"2","8","writer and journalist"
"82","195419597","dpcarrington",5,"4","5","writer and journalist"
"83","189376144","NaomiAKlein",8,"2","8","writer and journalist"
"84","181912222","LeoHickman",6,"5","6","writer and journalist"
"85","162869238","jossgarman",1,"5","1","NGO officer"
"86","146123790","PeterGleick",4,"1","4","scientist"
"87","143923948","Stphn_Lacey",1,"2","1","actor, singer and host"
"88","140252240","cathmckenna",3,"3","3","politician"
"89","138203134","AOC",9,"2","8","politician"
"90","138108708","BenGoldsmith",2,"5","2","businessman"
"91","135060958","joshfoxfilm",3,"4","3","writer and journalist"
"92","133880286","LeoDiCaprio",5,"3","5","actor, singer and host"
"93","114040486","mzjacobson",3,"1","3","scientist"
"94","111954709","dzarrilli",1,"1","1","scientist"
"95","106384372","joconfino",1,"3","1","scientist"
"96","104487397","mikescottgreen",2,"4","2","writer and journalist"
"97","97883743","Sustainable2050",5,"2","5","NGO officer"
"98","97618796","YebSano",1,"1","1","NGO officer"
"99","95428712","_richardblack",3,"5","3","scientist"
"100","94215105","AlexCKaufman",3,"1","3","writer and journalist"
"101","91089642","ellenmacarthur",1,"3","1","organisation"
"102","87699418","JeremyLeggett",3,"3","3","businessman"
"103","80802900","CarolineLucas",5,"3","5","politician"
"104","75742264","tveitdal",3,"4","3","NGO officer"
"105","71019945","OurOcean",1,"4","1","organisation"
"106","70736359","ed_hawkins",7,"5","7","scientist"
"107","54730258","MargaretAtwood",3,"3","3","writer and journalist"
"108","54239985","Zhirji28",3,"1","3","writer and journalist"
"109","50393960","BillGates",1,"3","1","businessman"
"110","49155241","duycks",2,"2","2","NGO officer"
"111","48702842","ErikSolheim",4,"2","4","NGO officer"
"112","47285504","MarkRuffalo",4,"1","4","actor, singer and host"
"113","44196397","elonmusk",2,"3","2","businessman"
"114","43792125","ChristineMilne",1,"1","1","politician"
"115","43412697","ClaraJeffery",1,"1","1","writer and journalist"
"116","39472736","SafiaMinney",2,"2","2","businessman"
"117","39279393","AmyAHarder",1,"1","1","writer and journalist"
"118","36959762","James_BG",6,"5","6","writer and journalist"
"119","34936539","maryannehitt",4,"1","4","NGO officer"
"120","34317032","KHayhoe",9,"4","8","scientist"
"121","33098495","DaniNierenberg",1,"2","1","scientist"
"122","31209800","LucasdiGrassi",2,"2","2","athelete"
"123","30927826","LFFriedman",5,"1","5","writer and journalist"
"124","29442313","SenSanders",5,"4","5","politician"
"125","25960714","AdamBandt",1,"1","1","politician"
"126","23746425","jyrkikatainen",1,"3","1","politician"
"127","23607321","NadaFarhoud",1,"2","1","writer and journalist"
"128","23128315","GernotWagner",2,"1","2","scientist"
"129","22751329","NatBullard",1,"3","1","NGO officer"
"130","22737278","drvolts",4,"1","4","writer and journalist"
"131","22709207","rgunns",4,"1","4","NGO officer"
"132","22481472","MLiebreich",2,"5","2","businessman"
"133","22140392","DoctorVive",7,"4","7","writer and journalist"
"134","22128352","volansjohn",1,"3","1","businessman"
"135","22021978","sunny_hundal",1,"2","1","writer and journalist"
"136","21786618","billmckibben",7,"4","7","writer and journalist"
"137","21576334","alokjha",1,"1","1","scientist"
"138","21406834","SenMarkey",2,"1","2","politician"
"139","21082047","catBrahic",2,"4","2","writer and journalist"
"140","19904685","kuminaidoo",7,"2","7","social activist"
"141","19734832","sarahkliff",1,"1","1","writer and journalist"
"142","19178857","alicebell",2,"1","2","writer and journalist"
"143","19055698","emorwee",6,"1","6","writer and journalist"
"144","18536997","Tzeporah",2,"1","2","scientist"
"145","17947003","rkyte365",4,"5","4","scientist"
"146","17793878","Earthjustice",7,"3","7","organisation"
"147","17463923","UNFCCC",9,"3","8","organisation"
"148","17220934","algore",4,"3","4","politician"
"149","17026589","JesseJenkins",2,"1","2","scientist"
"150","16630098","AMNH",1,"2","1","organisation"
"151","16596200","natalieben",2,"2","2","politician"
"152","16581604","MikeBloomberg",2,"3","2","businessman"
"153","16220555","ElizabethMay",3,"2","3","politician"
"154","15687090","adamvaughan_uk",4,"5","4","writer and journalist"
"155","15507433","bradplumer",4,"1","4","writer and journalist"
"156","15305044","hausfath",6,"4","6","scientist"
"157","15088481","MikeHudema",7,"2","7","social activist"
"158","15066876","JimHarris",2,"2","2","writer and journalist"
"159","14868608","pilitaclark",1,"5","1","writer and journalist"
"160","14779408","amywestervelt",5,"1","5","writer and journalist"
"161","14632294","dana1981",4,"4","4","scientist"
"162","14323791","dbiello",1,"2","1","writer and journalist"
"163","14260960","JustinTrudeau",1,"1","1","politician"
"164","14201680","aruna_sekhar",2,"1","2","writer and journalist"
"165","14116034","chaitanyakumar",2,"2","2","NGO officer"
"166","14106829","AlexSteffen",5,"1","5","writer and journalist"
"167","13766492","AkshatRathi",4,"4","4","scientist"
"168","11178672","Revkin",3,"2","3","writer and journalist"
"169","8468632","greentechlady",1,"2","1","writer and journalist"
"170","8442372","HirokoTabuchi",3,"4","3","writer and journalist"
"171","8161232","richardbranson",1,"1","1","businessman"
"172","6044272","ramez",1,"1","1","writer and journalist"
"173","2261261","jtemple",2,"4","2","writer and journalist"
